X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,material_consumption
0.0,0.0,0.5,-0.258915,1.0,0.0,0.021128,-0.956572,0.8,-0.7,5.449
0.0,0.0,0.5,-0.199443,1.0,0.0,0.130525,-0.578455,0.8,-0.7,4.558000000000001
0.0,0.0,0.5,-0.142366,1.0,0.0,0.254082,-0.741304,0.8,-0.7,4.763
0.0,0.0,0.5,-0.036503,1.0,0.0,0.235303,-0.922284,0.8,-0.7,5.375
0.0,0.0,0.5,0.151798,1.0,0.0,0.107068,-0.423524,0.8,-0.7,4.955
0.0,0.0,0.5,-0.194673,1.0,0.0,0.073235,-0.812386,0.8,-0.7,5.101
0.0,0.0,0.5,-0.217559,1.0,0.0,0.19948,-0.88452,0.8,-0.7,5.061000000000001
0.0,0.0,0.5,0.210669,1.0,0.0,0.224756,-0.611646,0.8,-0.7,5.299
0.0,0.0,0.5,0.29758,1.0,0.0,0.150392,-0.996011,0.8,-0.7,6.52
0.0,0.0,0.5,-0.109146,1.0,0.0,0.146437,-0.605105,0.8,-0.7,4.683
0.0,0.0,0.5,0.290488,1.0,0.0,0.087204,-0.641671,0.8,-0.7,5.766
0.0,0.0,0.5,0.090774,1.0,0.0,0.219815,-0.511513,0.8,-0.7,4.808
0.0,0.0,0.5,0.212748,1.0,0.0,0.145127,-0.93224,0.8,-0.7,6.104
0.0,0.0,0.5,0.119567,1.0,0.0,0.234112,-0.483118,0.8,-0.7,4.819
0.0,0.0,0.5,0.265054,1.0,0.0,0.263529,-0.510937,0.8,-0.7,5.248
0.0,0.0,0.5,0.024679,1.0,0.0,0.216398,-0.459088,0.8,-0.7,4.582
0.0,0.0,0.5,0.112815,1.0,0.0,0.157669,-0.782138,0.8,-0.7,5.463
0.0,0.0,0.5,-0.203223,1.0,0.0,0.078085,-0.784439,0.8,-0.7,5.026
0.0,0.0,0.5,-0.288386,1.0,0.0,0.22712,-0.703135,0.8,-0.7,4.568
0.0,0.0,0.5,-0.286536,1.0,0.0,0.101971,-0.605579,0.8,-0.7,4.590000000000001
0.0,0.0,0.5,-0.221173,1.0,0.0,0.091253,-0.713814,0.8,-0.7,4.845000000000001
0.0,0.0,0.5,-0.255234,1.0,0.0,0.048123,-0.852276,0.8,-0.7,5.173
0.0,0.0,0.5,-0.12436,1.0,0.0,0.059499,-0.937643,0.8,-0.7,5.492
0.0,0.0,0.5,-0.178199,1.0,0.0,0.264979,-0.661885,0.8,-0.7,4.545000000000001
0.0,0.0,0.5,-0.250188,1.0,0.0,0.265714,-0.586955,0.8,-0.7,4.337
0.0,0.0,0.5,0.255586,1.0,0.0,0.103613,-0.541134,0.8,-0.7,5.446000000000001
0.0,0.0,0.5,-0.015702,1.0,0.0,0.124824,-0.785002,0.8,-0.7,5.228
0.0,0.0,0.5,0.195124,1.0,0.0,0.178021,-0.783039,0.8,-0.7,5.662000000000001
0.0,0.0,0.5,0.297522,1.0,0.0,0.213356,-0.744098,0.8,-0.7,5.847
0.0,0.0,0.5,-0.22728,1.0,0.0,0.223896,-0.777135,0.8,-0.7,4.776
0.0,0.0,0.5,0.207555,1.0,0.0,0.253631,-0.493033,0.8,-0.7,5.055
0.0,0.0,0.5,0.116407,1.0,0.0,0.23246,-0.486567,0.8,-0.7,4.8180000000000005
0.0,0.0,0.5,0.247323,1.0,0.0,0.216075,-0.683022,0.8,-0.7,5.558
0.0,0.0,0.5,-0.267486,1.0,0.0,0.109815,-0.593253,0.8,-0.7,4.566
0.0,0.0,0.5,-0.10896,1.0,0.0,0.070477,-0.909131,0.8,-0.7,5.43
0.0,0.0,0.5,-0.178469,1.0,0.0,0.141513,-0.555478,0.8,-0.7,4.523
0.0,0.0,0.5,0.146926,1.0,0.0,0.107717,-0.416059,0.8,-0.7,4.930000000000001
0.0,0.0,0.5,-0.192414,1.0,0.0,0.19769,-0.916824,0.8,-0.7,5.168
0.0,0.0,0.5,-0.24984,1.0,0.0,0.165537,-0.98801,0.8,-0.7,5.325
0.0,0.0,0.5,0.108552,1.0,0.0,0.159381,-0.771026,0.8,-0.7,5.426
0.0,0.0,0.5,0.081781,1.0,0.0,0.176243,-0.676809,0.8,-0.7,5.141
